Stock codes;Year;Publication date;PDF location in old library system;DOI
sal.27.22-31;2018;29/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sal.27.22-31.pdf;https://doi.org/10.17895/ices.pub.4391
sal.27.22-31;2019;28/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sal.27.22-31.pdf;https://doi.org/10.17895/ices.advice.4742
sal.27.22-31;2020;28/05/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sal.27.22-31.pdf;https://doi.org/10.17895/ices.advice.5900
sal.27.22-31;2021;15/09/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.27.22-31.pdf;https://doi.org/10.17895/ices.advice.7848
sal.27.32;2017;31/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sal.27.32.pdf;https://doi.org/10.17895/ices.pub.3222
sal.27.32;2018;29/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sal.27.32.pdf;https://doi.org/10.17895/ices.pub.4380
sal.27.32;2019;28/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sal.27.32.pdf;https://doi.org/10.17895/ices.advice.4743
sal.27.32;2020;28/05/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sal.27.32.pdf;https://doi.org/10.17895/ices.advice.5901
sal.27.32;2021;15/09/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.27.32.pdf;https://doi.org/10.17895/ices.advice.7849
sal.27.neac;2018;04/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sal.27.neac.pdf;https://doi.org/10.17895/ices.pub.4338
sal.nac.all;2019;07/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sal.nac.all.pdf;https://doi.org/10.17895/ices.advice.5228
sal.nac.all;2020;07/05/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sal.nac.all.pdf;https://doi.org/10.17895/ices.advice.6013
sal.nac.all;2021;07/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.nac.all.pdf;https://doi.org/10.17895/ices.advice.8109
sal.neac.all;2019;07/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sal.neac.all.pdf;https://doi.org/10.17895/ices.advice.5229
sal.neac.all;2020;07/05/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sal.neac.all.pdf;https://doi.org/10.17895/ices.advice.6013
sal.neac.all;2021;07/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.neac.all.pdf;https://doi.org/10.17895/ices.advice.8112
sal.oth.nasco;2017;05/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sal.oth.nasco.pdf;https://doi.org/10.17895/ices.pub.3224
sal.oth.nasco;2018;04/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sal.oth.nasco.pdf;https://doi.org/10.17895/ices.pub.4335
sal.oth.nasco;2019;07/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sal.oth.nasco.pdf;https://doi.org/10.17895/ices.advice.5230
sal.oth.nasco;2020;07/05/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sal.oth.nasco.pdf;https://doi.org/10.17895/ices.advice.6010
sal.oth.nasco;2021;06/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.oth.nasco.pdf;https://doi.org/10.17895/ices.advice.8110
sal.wgc.all;2019;07/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.wgc.all;https://doi.org/10.17895/ices.advice.5227
sal.wgc.all;2020;07/05/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.wgc.all;https://doi.org/10.17895/ices.advice.6012
sal.wgc.all;2021;07/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.wgc.all;https://doi.org/10.17895/ices.advice.8111
san.27.6a;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/san.27.6a.pdf;https://doi.org/10.17895/ices.pub.4488
san.27.6a;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.27.6a.pdf;https://doi.org/10.17895/ices.advice.7671
san.sa.1r;2017;22/02/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.1r.pdf;https://doi.org/10.17895/ices.pub.3034
san.sa.1r;2018;23/02/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/san.sa.1r.pdf;https://doi.org/10.17895/ices.pub.4064
san.sa.1r;2019;22/02/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/san.sa.1r.pdf;https://doi.org/10.17895/ices.advice.4720
san.sa.1r;2020;27/02/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/san.sa.1r.pdf;https://doi.org/10.17895/ices.advice.5760
san.sa.1r;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.sa.1r.pdf;https://doi.org/10.17895/ices.advice.7672
san.sa.1r;2022;25/02/2022;https://www.ices.dk/sites/pub/Publication Reports/Advice/2022/2022/san.sa.1r.pdf;https://doi.org/10.17895/ices.advice.10000
san.sa.2r;2017;22/02/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.2r.pdf;https://doi.org/10.17895/ices.pub.3225
san.sa.2r;2018;23/02/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/san.sa.2r.pdf;https://doi.org/10.17895/ices.pub.4065
san.sa.2r;2019;22/02/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/san.sa.2r.pdf;https://doi.org/10.17895/ices.advice.4721
san.sa.2r;2020;27/02/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/san.sa.2r.pdf;https://doi.org/10.17895/ices.advice.5761
san.sa.2r;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.sa.2r.pdf;https://doi.org/10.17895/ices.advice.7673
san.sa.2r;2022;25/02/2022;https://www.ices.dk/sites/pub/Publication Reports/Advice/2022/2022/san.sa.2r.pdf;https://doi.org/10.17895/ices.advice.10001
san.sa.3r;2017;22/02/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.3r.pdf;https://doi.org/10.17895/ices.pub.3226
san.sa.3r;2018;23/02/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/san.sa.3r.pdf;https://doi.org/10.17895/ices.pub.4066
san.sa.3r;2019;22/02/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/san.sa.3r.pdf;https://doi.org/10.17895/ices.advice.4722
san.sa.3r;2020;27/02/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/san.sa.3r.pdf;https://doi.org/10.17895/ices.advice.5762
san.sa.3r;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.sa.3r.pdf;https://doi.org/10.17895/ices.advice.7674
san.sa.3r;2022;25/02/2022;https://www.ices.dk/sites/pub/Publication Reports/Advice/2022/2022/san.sa.3r.pdf;https://doi.org/10.17895/ices.advice.10002
san.sa.4;2017;22/02/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.4.pdf;https://doi.org/10.17895/ices.pub.2680
san.sa.4;2018;23/02/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/san.sa.4.pdf;https://doi.org/10.17895/ices.pub.4063
san.sa.4;2019;22/02/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/san.sa.4.pdf;https://doi.org/10.17895/ices.advice.4723
san.sa.4;2020;27/02/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/san.sa.4.pdf;https://doi.org/10.17895/ices.advice.5763
san.sa.4;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.sa.4.pdf;https://doi.org/10.17895/ices.advice.7675
san.sa.4;2022;25/02/2022;https://www.ices.dk/sites/pub/Publication Reports/Advice/2022/2022/san.sa.4.pdf;https://doi.org/10.17895/ices.advice.10003
san.sa.5r;2017;22/02/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.5r.pdf;https://doi.org/10.17895/ices.pub.3227
san.sa.5r;2019;22/02/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/san.sa.5r.pdf;https://doi.org/10.17895/ices.advice.4724
san.sa.5r;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.sa.5r.pdf;https://doi.org/10.17895/ices.advice.7676
san.sa.6;2017;22/02/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.6.pdf;https://doi.org/10.17895/ices.pub.3228
san.sa.6;2019;22/02/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/san.sa.6.pdf;https://doi.org/10.17895/ices.advice.4725
san.sa.6;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.sa.6.pdf;https://doi.org/10.17895/ices.advice.7677
san.sa.7r;2017;22/02/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.7r.pdf;https://doi.org/10.17895/ices.pub.3033
san.sa.7r;2019;22/02/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/san.sa.7r.pdf;https://doi.org/10.17895/ices.advice.4726
san.sa.7r;2021;25/02/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/san.sa.7r.pdf;https://doi.org/10.17895/ices.advice.7678
sbr.27.10;2018;07/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sbr.27.10.pdf;https://doi.org/10.17895/ices.pub.4398
sbr.27.10;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sbr.27.10.pdf;https://doi.org/10.17895/ices.advice.4820
sbr.27.10;2020;10/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sbr.27.10.pdf;https://doi.org/10.17895/ices.advice.5845
sbr.27.10;2021;10/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sbr.27.10.pdf;https://doi.org/10.17895/ices.advice.7854
sbr.27.6-8;2018;07/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sbr.27.6-8.pdf;https://doi.org/10.17895/ices.pub.4401
sbr.27.6-8;2020;10/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sbr.27.6-8.pdf;https://doi.org/10.17895/ices.advice.5805
sbr.27.9;2018;07/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sbr.27.9.pdf;https://doi.org/10.17895/ices.pub.4402
sbr.27.9;2020;10/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sbr.27.9.pdf;https://doi.org/10.17895/ices.advice.5806
sck.27.nea;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sck.27.nea.pdf;https://doi.org/10.17895/ices.advice.4842
sdv.27.nea;2017;06/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sdv.27.nea.pdf;https://doi.org/10.17895/ices.pub.3177
sdv.27.nea;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sdv.27.nea.pdf;https://doi.org/10.17895/ices.advice.4843
sdv.27.nea;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sdv.27.nea.pdf;https://doi.org/10.17895/ices.advice.7855
sho.27.67;2017;05/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sho.27.67.pdf;https://doi.org/10.17895/ices.pub.3178
sho.27.67;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sho.27.67.pdf;https://doi.org/10.17895/ices.advice.4844
sho.27.67;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sho.27.67.pdf;https://doi.org/10.17895/ices.advice.7856
sho.27.89a;2017;06/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sho.27.89a.pdf;https://doi.org/10.17895/ices.pub.3170
