StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength
por.27.nea,2019,13039,2161,169193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pra.27.1-2,2020,14013,2456,169177,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
pra.27.3a4a,2020,13308,2613,169179,1,0.68,9900,6300,0.6,9900,NA,NA,0,NA
pra.27.4a,2019,13289,2217,169178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raj.27.1012,2019,13034,2165,169197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raj.27.3a47d,2019,13014,2162,169194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raj.27.67a-ce-h,2020,13854,2404,169196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raj.27.89a,2020,13859,2403,169195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reb.2127.dp,2019,13178,2223,169264,0.182563496254552,0.131317602569064,1.2625185556225,0.902490885668766,0.131317602569064,1.2625185556225,NA,NA,5,NA
reb.2127.sp,2019,11558,2225,169266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reb.27.1-2,2020,13698,2638,169262,NA,NA,315000,227000,NA,315000,NA,NA,2,NA
reb.27.14b,2020,13332,2464,169265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reb.27.5a14,2019,10492,2222,169263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reg.27.1-2,2020,13727,2654,169268,NA,NA,68600,49000,0.0525,NA,NA,NA,3,NA
reg.27.561214,2020,13339,2466,169267,0.226,0.163,220000,160000,0.097,220000,NA,NA,5,NA
rhg.27.nea,2020,13509,2553,169198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rja.27.nea,2019,13027,2273,169199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjb.27.3a4,2019,13018,2267,169200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjb.27.67a-ce-k,2020,13830,2407,169202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjb.27.89a,2020,13860,2406,169201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.3a47d,2019,13100,2268,169203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.6,2020,13775,2412,169208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.7afg,2020,13888,2408,169204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.7e,2020,13779,2410,169206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.8,2020,13822,2409,169205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.9a,2020,13869,2411,169207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rje.27.7de,2020,13861,2414,169210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rje.27.7fg,2020,13862,2413,169209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjf.27.67,2020,13785,2415,169211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.4a6,2019,13011,2260,169212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.4c7d,2019,13136,2269,169213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.7afg,2020,13781,2416,169214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.7e,2020,13841,2540,169215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.9a,2020,13891,2417,169216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rji.27.67,2020,13839,2418,169217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.3a47d,2019,13067,2179,169218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.67bj,2020,13782,2531,169219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.7ae-h,2020,13836,2532,169220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
