StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength
rje.27.7de,2018,9992,1680,169210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rje.27.7fg,2018,10153,1679,169209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjf.27.67,2018,9986,1681,169211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.4a6,2018,10089,1766,169212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.7afg,2018,10003,1682,169214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.7e,2018,10028,1776,169215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjh.27.9a,2018,10015,1683,169216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rji.27.67,2018,10031,1684,169217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.67bj,2018,10260,1767,169219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.7ae-h,2018,10076,1768,169220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.8,2018,10040,1686,169221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.9a,2018,10149,1687,169222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjn.27.678abd,2018,10211,1782,169224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjn.27.8c,2018,10250,1783,169225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjn.27.9a,2018,10035,1688,169226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.7bj,2018,9987,1769,169228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.7de,2018,10041,1689,169232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.8ab,2018,10029,1762,169229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.8c,2018,9991,1763,169230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
