StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,RecruitmentLength,FLim,FMSY,MSYBtrigger,Fpa,Fmanagement,Bmanagement,FLength,Fcap,ConfidenceIntervalDefinition
nep.fu.31,2021,15633,2917,169161,0.3,,,,,1.7,1,0.5,,,,,,95%
nep.fu.6,2021,16782,2750,169167,,,,,,,8.12,858,,,858,,,95%
nep.fu.7,2021,16774,2713,169168,,,,,,,7.5,2.767,,,,,,2*sd
nep.fu.8,2021,16775,2714,169169,,,,,,,16.3,292,,,,,,2*sd
nep.fu.9,2021,16835,2715,169170,,,,,,,11.8,262,,,,,,2*sd
nop.27.3a4,2021,16855,2889,169174,42573,0,1-2,69736,,,,,,,,,,95%
nop.27.6a,2021,14581,2667,169175,,,,,,,,,,,,,,NA
pil.27.7,2021,16913,2923,194229,,,,,,,,,,,,,,95%
pil.27.8abd,2021,16920,2924,194230,56300,0,,78700,,0.757,0.453,78700,0.453,,,,,95%
pil.27.8c9a,2021,14580,2682,169255,196334,0,2-5,252523,,0.26,0.092,252523,0.092,,,,,95%
pil.27.8c9a,2021,16927,2682,169255,196334,0,2-5,252523,,0.26,0.092,252523,0.092,,,,,95%
ple.27.21-23,2021,14138,2800,169180,3635,1,,4730,,1,0.31,4730,0.81,,,,,95%
ple.27.24-32,2021,14571,2908,169181,,,,,,,,,,,,,,95% confidence intervals
ple.27.420,2021,15614,2734,169189,207288,1,2-6,290203,,,0.21,564599,0.769,,,,,2*sd
ple.27.7a,2021,14392,2806,169188,3958,1,3-6,5294,,0.5,0.196,8757,0.403,,,,,2*sd
ple.27.7a,2021,17315,2806,169188,3958,1,3-6,5294,,0.5,0.196,8757,0.403,,,,,2*sd
ple.27.7d,2021,14598,2851,169186,18448,1,,25826,,0.5,0.25,25826,0.418,,,,,2*sd
ple.27.7e,2021,14426,2805,169187,0.494227604995549,2,3-6,0.691918646993769,,0.88,0.476914279570103,0.691918646993769,1.38265064245114,,,,,NA
ple.27.7fg,2021,15646,2913,169185,,,,,,,1,0.5,,,,,,95%
ple.27.7h-k,2021,15644,2780,169183,,,,,,,,,,,,,,2*sd
ple.27.7h-k,2021,17383,2780,169183,,,,,,,,,,,,,,95%
ple.27.89a,2021,17616,2784,169184,,,,,,,,,,,,,,NA
pok.27.1-2,2021,14168,2894,169238,136000,3,4-7,220000,,0.58,,,0.35,0.32,220000,,,95%
pok.27.3a46,2021,14326,2809,169237,107297,3,4-7,149098,,0.668,0.363,149098,0.576,0.363,149098,,,95%
pok.27.5a,2021,14594,2703,169240,44000,3,4-9,61000,,,,,,,,,,na
